"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15"
"PROCESO DE FRESADO.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","PROCESO DE FRESADO.Queue",3.90058205416467,5.96075606573749,9.27390127222095,11.4412627640617,13.4239297777881,7.63994815726366,12.3333300090521,4.97444833275679,4.87525496539005,13.907476368964,5.87919364222734,11.6075575629681,7.39685721161254,12.0665230575216,4.06193280384941
"PROCESO DE FRESADO.Queue.WaitingCost","TALLY AVERAGE","Waiting Cost","Queue","PROCESO DE FRESADO.Queue",0.558996508884063,0.857378790770456,1.18164819251343,1.24875527723722,1.4643264719409,0.969856981578233,1.40198040091556,0.531673863177565,0.65661693311999,1.62404924613386,0.761435080799577,1.37342394582494,0.974019309939404,1.34932307515388,0.561732292389609
"PROCESO DE FRESADO.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","PROCESO DE FRESADO.Queue",0.372664339256042,0.571585860513638,0.787765461675622,0.832503518158147,0.9762176479606,0.646571321052156,0.934653600610372,0.354449242118377,0.437744622079993,1.08269949742258,0.507623387199718,0.915615963883295,0.649346206626269,0.899548716769255,0.374488194926406
"PROCESO DE PULIDO.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","PROCESO DE PULIDO.Queue",7.79977624426955E-02,5.65844843419102E-02,3.88756920637548E-02,7.08029058214921E-02,0.06757628293554,9.70748063496876E-02,5.47231739600884E-02,4.40344541571443E-02,6.25880294500476E-02,6.60356593171886E-02,6.55996532154763E-02,5.32227921112315E-02,0.109517905974235,0.098058704215275,0.122566174193002
"PROCESO DE PULIDO.Queue.WaitingCost","TALLY AVERAGE","Waiting Cost","Queue","PROCESO DE PULIDO.Queue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PROCESO DE PULIDO.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","PROCESO DE PULIDO.Queue",8.54769999372006E-03,5.86046938004565E-03,4.03903294168881E-03,7.65436819691806E-03,7.02091251278338E-03,9.83036013667722E-03,6.16599143212264E-03,5.03250904653078E-03,6.5882136263208E-03,6.77288813509627E-03,6.81554838602351E-03,5.67709782519803E-03,1.09517905974235E-02,1.03219688647658E-02,1.25708896608208E-02
"PROCESO DE TALADRADO.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","PROCESO DE TALADRADO.Queue",0.199762962147353,1.20422263627697,0.982194268128618,0.295367466743094,0.14183785173268,0.517089076151978,0.494760118426196,0.487237128725897,1.83312283504597,2.22247930681481,2.16856275686964,1.08198104414153,1.00720038965142,0.615407391634668,0.647322046606644
"PROCESO DE TALADRADO.Queue.WaitingCost","TALLY AVERAGE","Waiting Cost","Queue","PROCESO DE TALADRADO.Queue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PROCESO DE TALADRADO.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","PROCESO DE TALADRADO.Queue",2.18918314682031E-02,0.121372492959205,9.98851093495715E-02,3.15058631192633E-02,1.45474719725826E-02,5.07109167008696E-02,5.47471632310179E-02,5.40154361728014E-02,0.180598730751263,0.222865404591605,0.211704920694792,0.108391863837139,9.90065669137577E-02,6.37053192141598E-02,6.54394365894252E-02
"Pulidor.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Pulidor",0.788331806808142,0.762005647060176,0.769116151230976,0.76707030929303,0.805925307618772,0.784760785489277,0.732872083030531,0.744127116214508,0.775053311403755,0.803822043818635,0.776974080542429,0.76779930938288,0.845200802415032,0.779178345888612,0.82161397906687
"Pulidor.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Pulidor",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pulidor.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Pulidor",0.788331806808142,0.762005647060176,0.769116151230976,0.76707030929303,0.805925307618772,0.784760785489277,0.732872083030531,0.744127116214508,0.775053311403755,0.803822043818635,0.776974080542429,0.76779930938288,0.845200802415032,0.779178345888612,0.82161397906687
"Taladrador.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Taladrador",0.876684333764067,0.960263007053993,0.969834648379316,0.883831577715016,0.866418149602167,0.962792392007749,0.903169664691608,0.881876590233167,0.933969258857255,0.981513722801815,0.9681630992322,0.939668088294618,0.968146980378999,0.93095117328298,0.947243029190238
"Taladrador.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Taladrador",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Taladrador.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Taladrador",0.876684333764067,0.960263007053993,0.969834648379316,0.883831577715016,0.866418149602167,0.962792392007749,0.903169664691608,0.881876590233167,0.933969258857255,0.981513722801815,0.9681630992322,0.939668088294618,0.968146980378999,0.93095117328298,0.947243029190238
